0: 1 5 14 6 19, zy
198: 1 5 14 5 1 19 6 16 6 18 6 16 6 18 6 17 1 6 1 17 6 16 5 1 20, zy
199: 1 5 14 5 1 19 6 16 6 19 1 5 14 6 20 6 15 1 6 1 19 6 16 6 19, zy
200: 1 5 16 4 8 4 16 4 8 2 4 2 8 2 4 2 10 4 12 4 12 4 14 6 21, zy
201: 1 5 16 4 10 4 16 6 21 1 5 16 5 1 21 6 17 1 6 1 19 6 18 6 21, zy
202: 1 5 16 6 16 4 8 4 16 6 16 4 8 4 15 1 6 1 19 6 15 1 6 1 20, zy
203: 1 5 16 6 18 4 6 2 8 4 16 6 18 4 6 2 6 2 8 4 15 1 6 1 20, zy
204: 1 5 16 6 20 6 16 4 8 2 6 2 4 2 10 4 14 4 10 4 15 1 6 1 20, zy
205: 1 6 1 17 6 18 6 18 6 18 6 17 1 6 1 19 6 15 1 7 20 6 16 6 19, zy
206: 1 5 10 4 15 1 6 1 18 1 6 1 15 4 10 5 1 17 6 17 1 6 1 17 6 17, zy
207: 1 5 12 2 2 2 6 2 6 2 6 4 15 1 6 1 19 7 1 15 6 18 6 14 6 19, zy
208: 1 5 12 2 2 2 12 4 12 2 2 2 12 5 1 19 6 18 5 1 22 1 5 18 6 19, zy
209: 1 5 12 4 12 5 1 17 6 19 1 5 15 1 6 1 18 1 6 1 15 5 1 19 6 17, zy
210: 1 5 14 4 8 2 6 2 6 2 4 2 10 4 12 4 13 1 7 20 6 16 6 18 6 19, zy
211: 1 5 14 4 10 2 2 2 10 2 2 2 10 4 12 4 13 1 7 20 6 16 6 18 6 19, zy
212: 1 5 14 4 10 2 2 2 12 4 12 4 14 6 21 1 5 14 4 14 6 20 6 18 6 19, zy
213: 1 5 14 4 10 2 4 2 8 4 16 6 21 1 5 16 4 8 2 6 2 6 4 18 6 19, zy
214: 1 5 16 4 8 4 17 1 6 1 17 4 8 4 16 5 1 21 6 14 4 12 4 14 6 21, zy
215: 1 5 16 4 8 4 17 1 6 1 17 6 20 6 16 5 1 21 6 16 6 20 6 16 6 21, zy
216: 1 5 17 1 6 1 17 4 8 4 17 1 6 1 17 5 1 21 6 17 1 6 1 17 6 21, zy
217: 1 5 10 2 4 2 6 2 6 4 17 1 6 1 17 6 16 6 18 6 17 1 6 1 17 6 17, zy
218: 1 5 12 2 2 2 8 2 2 2 12 5 1 18 1 6 1 16 1 6 1 18 1 5 14 6 19, zy
219: 1 5 12 2 2 2 10 4 12 4 12 4 12 4 12 4 10 4 15 1 6 1 19 6 16 6 19, zy
220: 1 5 12 2 2 2 10 4 12 4 12 4 12 4 12 4 10 4 16 6 18 6 17 1 6 1 18, zy
221: 1 5 12 2 2 2 10 4 12 4 14 6 19 1 6 1 15 4 10 4 14 6 20 6 16 6 19, zy
222: 1 5 12 2 2 2 10 4 14 4 10 4 14 4 10 2 4 2 6 2 6 2 8 4 16 6 19, zy
223: 1 5 12 2 2 2 10 4 14 5 1 20 1 5 14 4 10 2 2 2 12 4 10 4 16 6 19, zy
224: 1 5 12 4 10 2 4 2 6 2 6 2 4 2 10 4 10 2 4 2 6 2 6 2 6 4 17, zy
225: 1 5 12 4 12 2 2 2 8 2 4 2 8 2 4 2 8 4 16 6 18 6 17 1 6 1 18, zy
226: 1 5 12 4 12 4 10 2 2 2 10 4 12 4 12 4 10 4 12 4 12 4 10 4 14 6 19, zy
227: 1 5 12 4 12 4 10 2 4 2 8 2 4 2 8 4 16 6 19 1 5 14 5 1 19 6 17, zy
228: 1 5 12 4 12 4 10 4 14 6 19 1 6 1 15 6 18 6 17 1 6 1 16 1 6 1 18, zy
229: 1 5 12 4 12 4 12 4 10 4 12 4 12 4 10 2 4 4 18 6 14 4 10 4 14 6 19, zy
230: 1 5 12 4 12 4 12 4 12 4 12 4 12 4 12 2 2 2 8 2 4 2 8 2 6 4 17, zy
231: 1 5 12 4 12 4 12 4 14 6 20 6 16 5 1 21 7 1 15 6 20 6 16 4 8 4 17, zy
232: 1 5 12 4 12 4 14 5 1 20 1 5 14 4 12 4 10 2 4 2 8 4 16 4 8 4 17, zy
233: 1 5 12 4 12 4 14 6 19 1 6 1 16 1 6 1 18 1 6 1 17 6 17 1 6 1 18, zy
234: 1 5 12 4 14 4 10 4 14 4 10 2 4 2 6 2 8 4 16 6 19 1 6 1 17 6 19, zy
235: 1 5 12 4 14 4 10 4 14 5 1 20 1 5 14 4 10 2 2 2 12 4 10 4 16 6 19, zy
236: 1 5 12 4 14 4 10 4 14 5 1 20 1 5 14 4 10 2 4 2 6 2 8 4 16 6 19, zy
237: 1 5 12 4 14 5 1 20 1 5 14 4 10 4 15 1 6 1 19 6 18 6 17 1 6 1 18, zy
238: 1 5 12 4 14 6 20 6 16 5 1 21 6 14 4 12 5 1 19 6 16 6 20 6 16 6 19, zy
239: 1 5 14 4 8 2 4 2 8 2 4 2 6 2 6 2 6 2 6 4 16 6 18 6 16 6 19, zy
240: 1 5 14 4 8 4 16 6 18 6 16 6 17 1 6 1 17 6 17 1 6 1 17 6 16 6 19, zy
241: 1 5 14 4 10 2 2 2 12 4 12 4 14 5 1 21 6 14 4 12 4 12 4 14 5 1 20, zy
242: 1 5 14 4 10 2 4 2 6 2 8 4 16 6 19 1 6 1 17 6 19 1 5 14 5 1 20, zy
243: 1 5 14 4 10 4 16 6 20 6 16 5 1 21 6 14 4 12 4 12 4 12 4 14 5 1 20, zy
244: 1 5 14 4 12 4 10 2 4 2 6 2 8 4 16 6 18 4 6 2 8 4 15 1 6 1 20, zy
245: 1 5 14 4 12 4 12 4 12 4 14 5 1 20 1 5 15 1 6 1 20 1 5 15 1 7 21, zy
246: 1 5 14 5 1 19 6 16 6 18 6 16 6 19 1 6 1 15 6 19 1 6 1 15 5 1 20, zy
247: 1 5 14 6 20 6 14 6 20 7 1 14 1 7 19 1 6 1 15 4 8 4 16 6 16 6 19, zy
248: 1 5 15 1 6 1 19 6 16 4 8 2 6 4 17 1 6 1 17 6 18 6 18 6 18 6 19, zy
249: 1 5 16 6 19 1 6 1 17 6 19 1 6 1 17 6 18 6 19 1 6 1 16 1 6 1 20, zy
250: 1 5 16 6 20 6 14 4 10 2 4 2 6 2 8 4 14 4 10 4 14 4 10 4 14 6 21, zy
251: 1 5 16 6 20 6 16 6 20 6 16 6 20 6 16 4 8 2 4 2 10 4 12 4 14 6 21, zy
252: 1 5 16 6 20 6 18 6 17 1 6 1 19 6 16 4 10 4 14 4 10 4 15 1 6 1 20, zy
